#Top: ios   Floorplan: ibis_io_1   Part: xa7s15csga225-1Q
#Generated by: WeicWang   on: Fri Dec  1 18:04:20 2023
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022
#Package Version: PRODUCTION 1.1 03/19/2018
#Package Pin Delay Version: PRODUCTION 1.0 8/30/2017

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,EQUALIZATION
14,R13,IOB_X0Y26,IO_L12P_T1_MRCC_14,92.675,93.607,,CLK.SYS_CLK_58687,sysclk_in,IN,,,LVCMOS33,,,,,,,,,,,,,,
14,N8,IOB_X0Y8,IO_L21P_T3_DQS_14,70.428,71.136,,RST.SYS_RST_N_58687,ipc_rst_n,IN,,,LVCMOS33,,,,,,,,,,,,,,
34,E2,IOB_X1Y34,IO_L8P_T1_34,43.254,43.689,,,LVDS_EVEN[3],IN,P,LVDS_EVEN_N[3],LVDS_25,,,,,,,,,,true,,,,
34,N2,IOB_X1Y10,IO_L20P_T3_34,53.454,53.991,,,LVDS_EVEN[2],IN,P,LVDS_EVEN_N[2],LVDS_25,,,,,,,,,,true,,,,
34,P3,IOB_X1Y8,IO_L21P_T3_DQS_34,57.752,58.332,,,LVDS_EVEN[1],IN,P,LVDS_EVEN_N[1],LVDS_25,,,,,,,,,,true,,,,
34,R2,IOB_X1Y2,IO_L24P_T3_34,59.905,60.508,,,LVDS_EVEN[0],IN,P,LVDS_EVEN_N[0],LVDS_25,,,,,,,,,,true,,,,
34,E1,IOB_X1Y33,IO_L8N_T1_34,46.529,46.997,,,LVDS_EVEN_N[3],IN,N,LVDS_EVEN[3],LVDS_25,,,,,,,,,,true,,,,
34,M2,IOB_X1Y9,IO_L20N_T3_34,49.660,50.159,,,LVDS_EVEN_N[2],IN,N,LVDS_EVEN[2],LVDS_25,,,,,,,,,,true,,,,
34,N3,IOB_X1Y7,IO_L21N_T3_DQS_34,54.687,55.237,,,LVDS_EVEN_N[1],IN,N,LVDS_EVEN[1],LVDS_25,,,,,,,,,,true,,,,
34,P2,IOB_X1Y1,IO_L24N_T3_34,58.377,58.964,,,LVDS_EVEN_N[0],IN,N,LVDS_EVEN[0],LVDS_25,,,,,,,,,,true,,,,
34,A4,IOB_X1Y48,IO_L1P_T0_34,71.782,72.503,,,LVDS_LCD_EVEN[3],OUT,P,LVDS_LCD_EVEN_N[3],LVDS_25,,,,,,,,,,true,FD_100,,,
34,C5,IOB_X1Y40,IO_L5P_T0_34,53.769,54.309,,,LVDS_LCD_EVEN[2],OUT,P,LVDS_LCD_EVEN_N[2],LVDS_25,,,,,,,,,,true,FD_100,,,
34,D4,IOB_X1Y36,IO_L7P_T1_34,55.010,55.563,,,LVDS_LCD_EVEN[1],OUT,P,LVDS_LCD_EVEN_N[1],LVDS_25,,,,,,,,,,true,FD_100,,,
34,B2,IOB_X1Y46,IO_L2P_T0_34,57.203,57.778,,,LVDS_LCD_EVEN[0],OUT,P,LVDS_LCD_EVEN_N[0],LVDS_25,,,,,,,,,,true,FD_100,,,
34,A3,IOB_X1Y47,IO_L1N_T0_34,69.952,70.655,,,LVDS_LCD_EVEN_N[3],OUT,N,LVDS_LCD_EVEN[3],LVDS_25,,,,,,,,,,true,FD_100,,,
34,B5,IOB_X1Y39,IO_L5N_T0_34,57.361,57.937,,,LVDS_LCD_EVEN_N[2],OUT,N,LVDS_LCD_EVEN[2],LVDS_25,,,,,,,,,,true,FD_100,,,
34,C4,IOB_X1Y35,IO_L7N_T1_34,59.549,60.147,,,LVDS_LCD_EVEN_N[1],OUT,N,LVDS_LCD_EVEN[1],LVDS_25,,,,,,,,,,true,FD_100,,,
34,A2,IOB_X1Y45,IO_L2N_T0_34,56.975,57.548,,,LVDS_LCD_EVEN_N[0],OUT,N,LVDS_LCD_EVEN[0],LVDS_25,,,,,,,,,,true,FD_100,,,
34,F2,IOB_X1Y30,IO_L10P_T1_34,42.960,43.392,,,LVDS_LCD_ODD[3],OUT,P,LVDS_LCD_ODD_N[3],LVDS_25,,,,,,,,,,true,FD_100,,,
34,K1,IOB_X1Y18,IO_L16P_T2_34,49.898,50.400,,,LVDS_LCD_ODD[2],OUT,P,LVDS_LCD_ODD_N[2],LVDS_25,,,,,,,,,,true,FD_100,,,
34,M1,IOB_X1Y14,IO_L18P_T2_34,52.505,53.032,,,LVDS_LCD_ODD[1],OUT,P,LVDS_LCD_ODD_N[1],LVDS_25,,,,,,,,,,true,FD_100,,,
34,P1,IOB_X1Y6,IO_L22P_T3_34,65.215,65.870,,,LVDS_LCD_ODD[0],OUT,P,LVDS_LCD_ODD_N[0],LVDS_25,,,,,,,,,,true,FD_100,,,
34,F1,IOB_X1Y29,IO_L10N_T1_34,46.127,46.591,,,LVDS_LCD_ODD_N[3],OUT,N,LVDS_LCD_ODD[3],LVDS_25,,,,,,,,,,true,FD_100,,,
34,J1,IOB_X1Y17,IO_L16N_T2_34,47.497,47.974,,,LVDS_LCD_ODD_N[2],OUT,N,LVDS_LCD_ODD[2],LVDS_25,,,,,,,,,,true,FD_100,,,
34,L1,IOB_X1Y13,IO_L18N_T2_34,51.078,51.592,,,LVDS_LCD_ODD_N[1],OUT,N,LVDS_LCD_ODD[1],LVDS_25,,,,,,,,,,true,FD_100,,,
34,N1,IOB_X1Y5,IO_L22N_T3_34,63.398,64.035,,,LVDS_LCD_ODD_N[0],OUT,N,LVDS_LCD_ODD[0],LVDS_25,,,,,,,,,,true,FD_100,,,
34,C1,IOB_X1Y42,IO_L4P_T0_34,62.774,63.405,,,LVDS_ODD[3],IN,P,LVDS_ODD_N[3],LVDS_25,,,,,,,,,,true,,,,
34,D2,IOB_X1Y38,IO_L6P_T0_34,47.195,47.670,,,LVDS_ODD[2],IN,P,LVDS_ODD_N[2],LVDS_25,,,,,,,,,,true,,,,
34,R4,IOB_X1Y4,IO_L23P_T3_34,54.776,55.327,,,LVDS_ODD[1],IN,P,LVDS_ODD_N[1],LVDS_25,,,,,,,,,,true,,,,
34,K3,IOB_X1Y16,IO_L17P_T2_34,50.416,50.922,,,LVDS_ODD[0],IN,P,LVDS_ODD_N[0],LVDS_25,,,,,,,,,,true,,,,
34,B1,IOB_X1Y41,IO_L4N_T0_34,61.214,61.829,,,LVDS_ODD_N[3],IN,N,LVDS_ODD[3],LVDS_25,,,,,,,,,,true,,,,
34,D1,IOB_X1Y37,IO_L6N_T0_VREF_34,47.014,47.487,,,LVDS_ODD_N[2],IN,N,LVDS_ODD[2],LVDS_25,,,,,,,,,,true,,,,
34,R3,IOB_X1Y3,IO_L23N_T3_34,53.887,54.428,,,LVDS_ODD_N[1],IN,N,LVDS_ODD[1],LVDS_25,,,,,,,,,,true,,,,
34,K2,IOB_X1Y15,IO_L17N_T2_34,47.757,48.237,,,LVDS_ODD_N[0],IN,N,LVDS_ODD[0],LVDS_25,,,,,,,,,,true,,,,
14,K13,IOB_X0Y45,IO_L2N_T0_D03_14,58.766,59.357,,,cflash_dq[3],INOUT,,,LVCMOS33,16,FAST,,,,,,,,,FP_VTT_50,,,
14,J12,IOB_X0Y46,IO_L2P_T0_D02_14,54.099,54.643,,,cflash_dq[2],INOUT,,,LVCMOS33,16,FAST,,,,,,,,,FP_VTT_50,,,
14,H15,IOB_X0Y47,IO_L1N_T0_D01_DIN_14,87.207,88.084,,,cflash_dq[1],INOUT,,,LVCMOS33,16,FAST,,,,,,,,,FP_VTT_50,,,
14,H14,IOB_X0Y48,IO_L1P_T0_D00_MOSI_14,83.673,84.514,,,cflash_dq[0],INOUT,,,LVCMOS33,16,FAST,,,,,,,,,FP_VTT_50,,,
34,J2,IOB_X1Y22,IO_L14P_T2_SRCC_34,44.019,44.462,,,LVDS_EVEN_CLK,IN,P,LVDS_EVEN_CLK_N,LVDS_25,,,,,,,,,,true,,,,
34,H2,IOB_X1Y21,IO_L14N_T2_SRCC_34,39.887,40.288,,,LVDS_EVEN_CLK_N,IN,N,LVDS_EVEN_CLK,LVDS_25,,,,,,,,,,true,,,,
34,H4,IOB_X1Y24,IO_L13P_T2_MRCC_34,24.062,24.304,,,LVDS_LCD_EVEN_CLK,OUT,P,LVDS_LCD_EVEN_CLK_N,LVDS_25,,,,,,,,,,true,FD_100,,,
34,H3,IOB_X1Y23,IO_L13N_T2_MRCC_34,29.210,29.504,,,LVDS_LCD_EVEN_CLK_N,OUT,N,LVDS_LCD_EVEN_CLK,LVDS_25,,,,,,,,,,true,FD_100,,,
34,H1,IOB_X1Y26,IO_L12P_T1_MRCC_34,46.235,46.700,,,LVDS_LCD_ODD_CLK,OUT,P,LVDS_LCD_ODD_CLK_N,LVDS_25,,,,,,,,,,true,FD_100,,,
34,G1,IOB_X1Y25,IO_L12N_T1_MRCC_34,43.230,43.665,,,LVDS_LCD_ODD_CLK_N,OUT,N,LVDS_LCD_ODD_CLK,LVDS_25,,,,,,,,,,true,FD_100,,,
34,F4,IOB_X1Y28,IO_L11P_T1_SRCC_34,43.547,43.985,,,LVDS_ODD_CLK,IN,P,LVDS_ODD_CLK_N,LVDS_25,,,,,,,,,,true,,,,
34,F3,IOB_X1Y27,IO_L11N_T1_SRCC_34,42.663,43.091,,,LVDS_ODD_CLK_N,IN,N,LVDS_ODD_CLK,LVDS_25,,,,,,,,,,true,,,,
14,R8,IOB_X0Y5,IO_L22N_T3_D20_14,81.973,82.797,,,bl_clko,IN,,,LVCMOS33,,,,,,,,,,,,,,
14,R11,IOB_X0Y14,IO_L18P_T2_D28_14,66.802,67.473,,,bl_mosi,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,R10,IOB_X0Y15,IO_L17N_T2_D29_14,86.889,87.763,,,bl_sck,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,R7,IOB_X0Y6,IO_L22P_T3_D21_14,78.832,79.624,,,bl_sout,IN,,,LVCMOS33,,,,,,,,,,,,,,
14,L11,IOB_X0Y38,IO_L6P_T0_FCS_B_14,79.689,80.490,,,cflash_csb,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,N14,IOB_X0Y30,IO_L10P_T1_D14_14,84.795,85.647,,,i2c_scl,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,N15,IOB_X0Y29,IO_L10N_T1_D15_14,80.970,81.783,,,i2c_sda,INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,M15,IOB_X0Y31,IO_L9N_T1_DQS_D13_14,90.652,91.563,,,int_soc,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,N12,IOB_X0Y22,IO_L14P_T2_SRCC_14,79.022,79.817,,,vled_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,R5,IOB_X0Y2,IO_L24P_T3_D17_14,73.700,74.441,,,lcd_fault,IN,,,LVCMOS33,,,,,,,,,,,,,,
14,P7,IOB_X0Y3,IO_L23N_T3_D18_14,58.054,58.638,,,lcd_pow,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,P12,IOB_X0Y21,IO_L14N_T2_SRCC_14,75.934,76.698,,,lcd_rst,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,J15,IOB_X0Y40,IO_L5P_T0_D06_14,76.317,77.085,,,pwm1_o_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
14,K15,IOB_X0Y39,IO_L5N_T0_D07_14,83.143,83.979,,,pwm1_o_p,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,,
